CLT-983aab2e-e3cc-4eb3-819a-41afe020de19,Test User,testuser,password,studentId123,student,true
CLT-82d8afac-031a-4859-8d64-506f2e74cbe6,Test User,testuser,password,studentId123,student,true
CLT-12cebe0d-3b1d-41ed-9d94-c8dc2e069f9f,Test User,testuser,password,studentId123,student,true
CLT-2e162fe0-4ac9-4283-8df1-553176eae571,Test User,testuser,password,studentId123,student,true
CLT-65a2f5c1-be1e-47f2-941b-733aa7493343,Test User,testuser,password,studentId123,student,true
CLT-2baf4034-6259-458a-9fcd-e725b00c1a5a,Test User,testuser,password,studentId123,student,true
CLT-304a9a00-9e5e-4f08-8bc2-5899a9d2457c,Test User,testuser,password,studentId123,student,true
CLT-3297d95c-466d-44bb-a98b-5c7ff6f942e1,Test User,testuser,password,studentId123,student,true
CLT-35248ba1-3e21-4faf-9e37-f9b073c6578f,Test User,testuser,password,studentId123,student,true
CLT-915771b4-c039-416d-9c6f-d9958fef74ef,Test User,testuser,password,studentId123,student,true
CLT-7064f9c0-ae14-4c4a-bac3-9c94a395c5df,Test User,testuser,password,studentId123,student,true
CLT-a0bb13ad-163a-461f-976f-1c8e829acea0,Test User,testuser,password,studentId123,student,true
CLT-2c385ea7-bd24-41f7-98fd-89554d1f7b4d,Test User,testuser,password,studentId123,student,true
CLT-5288fa91-c598-4ee3-ad00-9dfed4eb868e,Test User,testuser,password,studentId123,student,true
CLT-029a0fc1-aac3-4fcd-bc42-4b29e3a9cf85,Test User,testuser,password,studentId123,student,true
